OBJECTNUMMER;Straatvaknummer;Loopruimte;Walkability_algemeen;Drukte_algemeen;Walkability_recreatief;Drukte_recreatief;Walkability_toeristisch;Drukte_toeristisch;Walkability_werkgerelateerd;Drukte_werkgerelateerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
9575;9575;"zeer ruim";"matig";"zeer druk";"matig";"zeer druk";"matig";"zeer druk";"matig";"zeer druk";"LINESTRING(4.884173 52.363121,4.884101 52.363137,4.883941 52.363214,4.883902 52.363213,4.883871 52.363232,4.883727 52.363335,4.883729 52.363355,4.883608 52.363443,4.883577 52.363445,4.883277 52.363664,4.883253 52.363703,4.883186 52.363731,4.883038 52.363839,4.883015 52.363872)";"LINESTRING(52.363121 4.884173,52.363137 4.884101,52.363214 4.883941,52.363213 4.883902,52.363232 4.883871,52.363335 4.883727,52.363355 4.883729,52.363443 4.883608,52.363445 4.883577,52.363664 4.883277,52.363703 4.883253,52.363731 4.883186,52.363839 4.883038,52.363872 4.883015)";4.883594;52.3634965;
9576;9576;"krap";"matig";"druk";"goed";"rustig";"goed";"rustig";"matig";"druk";"LINESTRING(4.88786 52.380582,4.8878 52.380586,4.887404 52.380512,4.88635 52.380357,4.886269 52.380356,4.885935 52.380304,4.885901 52.380284)";"LINESTRING(52.380582 4.88786,52.380586 4.8878,52.380512 4.887404,52.380357 4.88635,52.380356 4.886269,52.380304 4.885935,52.380284 4.885901)";4.8868805;52.380435;
9577;9577;"ruim";"goed";"druk";"matig";"zeer druk";"matig";"zeer druk";"matig";"zeer druk";"LINESTRING(4.877786 52.349636,4.877284 52.349178)";"LINESTRING(52.349636 4.877786,52.349178 4.877284)";4.877535;52.349407;
9578;9578;"zeer ruim";"goed";"druk";"goed";"zeer druk";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.874487 52.386181,4.874488 52.386159,4.874446 52.386131)";"LINESTRING(52.386181 4.874487,52.386159 4.874488,52.386131 4.874446)";4.874467;52.386156;
9579;9579;"zeer ruim";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.85557 52.343991,4.855564 52.344008,4.855501 52.344032,4.855347 52.343883,4.855389 52.343769,4.855518 52.343705)";"LINESTRING(52.343991 4.85557,52.344008 4.855564,52.344032 4.855501,52.343883 4.855347,52.343769 4.855389,52.343705 4.855518)";4.8554585;52.3438685;
9580;9580;"ruim";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.88771 52.340828,4.887752 52.340826)";"LINESTRING(52.340828 4.88771,52.340826 4.887752)";4.887731;52.340827;
9581;9581;"ruim";"matig";"zeer druk";"matig";"zeer druk";"matig";"zeer druk";"goed";"rustig";"LINESTRING(4.883775 52.375968,4.883937 52.375996)";"LINESTRING(52.375968 4.883775,52.375996 4.883937)";4.883856;52.375982;
9582;9582;"zeer ruim";"uitstekend";"rustig";"uitstekend";"rustig";"uitstekend";"rustig";"uitstekend";"zeer rustig";"LINESTRING(4.921794 52.361045,4.921873 52.360894,4.921933 52.360825)";"LINESTRING(52.361045 4.921794,52.360894 4.921873,52.360825 4.921933)";4.9218635;52.360935;
9583;9583;"ruim";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"goed";"rustig";"goed";"rustig";"LINESTRING(4.896325 52.359933,4.896307 52.359871)";"LINESTRING(52.359933 4.896325,52.359871 4.896307)";4.896316;52.359902;
9584;9584;"zeer ruim";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.930451 52.356396,4.930599 52.356428,4.930657 52.356499)";"LINESTRING(52.356396 4.930451,52.356428 4.930599,52.356499 4.930657)";4.930554;52.3564475;
9585;9585;"zeer ruim";"matig";"zeer druk";"uitstekend";"rustig";"goed";"druk";"goed";"druk";"LINESTRING(4.910148 52.359686,4.909993 52.359667,4.909907 52.359672)";"LINESTRING(52.359686 4.910148,52.359667 4.909993,52.359672 4.909907)";4.9100275;52.3596765;
